   34785000.000000000        69570000.000000000       -10160888237530114.       -1.7672324867124249E+023
         191   6643935000.0000000        6609150000.0000000        1.1956135937204431E+018  -8.8564425962924554E+026
         192   6678720000.0000000        6643935000.0000000        1.1478797622443013E+018  -8.4571526209957755E+026
         193   6713505000.0000000        6678720000.0000000        1.1018121297062858E+018  -8.0738872716774446E+026
         194   6748290000.0000000        6713505000.0000000        1.0577227448353407E+018  -7.7059584148864707E+026
         195   6783075000.0000000        6748290000.0000000        1.0144423467096732E+018  -7.3530846445835114E+026
         196   6817860000.0000000        6783075000.0000000        9.7270080570840320E+017  -7.0147306693178431E+026
         197   6852645000.0000000        6817860000.0000000        9.3236973817992934E+017  -6.6904058558919549E+026
         198   6887430000.0000000        6852645000.0000000        8.9331756247834701E+017  -6.3796653417838621E+026
         199   6922215000.0000000        6887430000.0000000        8.5619380329571840E+017  -6.0818383273074463E+026
         200   6957000000.0000000        6922215000.0000000        8.1988285292755443E+017  -5.7966420769165967E+026
         201   6991785000.0000000        6957000000.0000000        7.8486627322777331E+017  -5.5236263437743157E+026
         202   7026570000.0000000        6991785000.0000000        7.5160156685175296E+017  -5.2621817387449338E+026
         203   7061355000.0000010        7026570000.0000000        7.1904339276341120E+017  -5.0120624945721747E+026
         204   7096140000.0000000        7061355000.0000010        6.8767576417398170E+017  -4.7728544800042619E+026
         205   7130925000.0000000        7096140000.0000000        6.5791078955951923E+017  -4.5440002118559830E+026
         206   7165710000.0000000        7130925000.0000000        6.2889769143930176E+017  -4.3252381498888222E+026
         207   7200495000.0000000        7165710000.0000000        6.0091847521662707E+017  -4.1162086582847184E+026
         208   7235280000.0000000        7200495000.0000000        5.7438782323608000E+017  -3.9164078539720482E+026
         209   7270065000.0000000        7235280000.0000000        5.4857411176890323E+017  -3.7255863491932350E+026
         210   7304850000.0000000        7270065000.0000000        5.2404318092572902E+017  -3.5432979287082200E+026
         211   7339635000.0000000        7304850000.0000000        5.0026336985098739E+017  -3.3692813155055540E+026
         212   7374420000.0000000        7339635000.0000000        4.7737470425033050E+017  -3.2032265246320765E+026
         213   7409205000.0000000        7374420000.0000000        4.5563056094922541E+017  -3.0447354340058885E+026
         214   7443990000.0000000        7409205000.0000000        4.3459470741679123E+017  -2.8935616650309576E+026
         215   7478775000.0000000        7443990000.0000000        4.1462569096825414E+017  -2.7493341184276504E+026
         216   7513560000.0000000        7478775000.0000000        3.9521928225207379E+017  -2.6118570910962666E+026
         217   7548345000.0000000        7513560000.0000000        3.7685327763794080E+017  -2.4807686784699091E+026
         218   7583130000.0000000        7548345000.0000000        3.5906802706935494E+017  -2.3558668652538340E+026
         219   7617915000.0000000        7583130000.0000000        3.4219382402240115E+017  -2.2368347435676419E+026
         220   7652700000.0000000        7617915000.0000000        3.2592168480907110E+017  -2.1234628855068066E+026
         221   7687485000.0000000        7652700000.0000000        3.1044351297380186E+017  -2.0154751095188695E+026
         222   7722270000.0000000        7687485000.0000000        2.9552614035607680E+017  -1.9126763415960082E+026
         223   7757055000.0000000        7722270000.0000000        2.8135282004104362E+017  -1.8148077631447311E+026
         224   7791840000.0000000        7757055000.0000000        2.6770078626857546E+017  -1.7216880446412071E+026
         225   7826625000.0000000        7791840000.0000000        2.5476794167224746E+017  -1.6330670161305159E+026
         226   7861410000.0000000        7826625000.0000000        2.4239799567817270E+017  -1.5487488733338637E+026
         227   7896195000.0000000        7861410000.0000000        2.3047135226857904E+017  -1.4685794134472384E+026
         228   7930980000.0000000        7896195000.0000000        2.1917599188081574E+017  -1.3923390446714967E+026
         229   7965765000.0000000        7930980000.0000000        2.0829409144632419E+017  -1.3198839449618929E+026
         230   8000550000.0000000        7965765000.0000000        1.9801890768376131E+017  -1.2510030679240966E+026
         231   8035335000.0000000        8000550000.0000000        1.8810155702130205E+017  -1.1855719413142367E+026
