   34785000.000000000        69570000.000000000                            NaN                       NaN
         155   5391675000.0000000        5356890000.0000000                            NaN                       NaN
         156   5426460000.0000000        5391675000.0000000                            NaN                       NaN
         157   5461245000.0000000        5426460000.0000000                            NaN                       NaN
         158   5496030000.0000000        5461245000.0000000                            NaN                       NaN
         159   5530815000.0000000        5496030000.0000000                            NaN                       NaN
         160   5565600000.0000000        5530815000.0000000                            NaN                       NaN
         161   5600385000.0000000        5565600000.0000000                            NaN                       NaN
         162   5635170000.0000000        5600385000.0000000                            NaN                       NaN
         163   5669955000.0000000        5635170000.0000000                            NaN                       NaN
         164   5704740000.0000000        5669955000.0000000                            NaN                       NaN
         165   5739525000.0000000        5704740000.0000000                            NaN                       NaN
         166   5774310000.0000000        5739525000.0000000                            NaN                       NaN
         167   5809095000.0000000        5774310000.0000000                            NaN                       NaN
         168   5843880000.0000000        5809095000.0000000                            NaN                       NaN
         169   5878665000.0000000        5843880000.0000000                            NaN                       NaN
         170   5913450000.0000000        5878665000.0000000                            NaN                       NaN
         171   5948235000.0000000        5913450000.0000000                            NaN                       NaN
         172   5983019999.9999990        5948235000.0000000                            NaN                       NaN
         173   6017805000.0000000        5983019999.9999990                            NaN                       NaN
         174   6052590000.0000000        6017805000.0000000                            NaN                       NaN
         175   6087375000.0000000        6052590000.0000000                            NaN                       NaN
         176   6122160000.0000000        6087375000.0000000                            NaN                       NaN
         177   6156945000.0000000        6122160000.0000000                            NaN                       NaN
         178   6191730000.0000000        6156945000.0000000                            NaN                       NaN
         179   6226515000.0000000        6191730000.0000000                            NaN                       NaN
         180   6261300000.0000000        6226515000.0000000                            NaN                       NaN
         181   6296085000.0000000        6261300000.0000000                            NaN                       NaN
         182   6330870000.0000000        6296085000.0000000                            NaN                       NaN
         183   6365655000.0000000        6330870000.0000000                            NaN                       NaN
         184   6400440000.0000000        6365655000.0000000                            NaN                       NaN
         185   6435225000.0000000        6400440000.0000000                            NaN                       NaN
         186   6470010000.0000000        6435225000.0000000                            NaN                       NaN
         187   6504795000.0000000        6470010000.0000000                            NaN                       NaN
         188   6539580000.0000000        6504795000.0000000                            NaN                       NaN
