Total,,H,,He3,,He4,,C12,,N14,,O16,,Ne20,,Na23,,Mg24,,Al27,,Si28,,S32,,Ar40,,Ca40,,Fe56,,Ni58,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
44.45588236735916,589452450.4677229,42.726564506663124,113674364.86241609,43.14932601620741,4329815.340435956,,,,,41.53979673661348,478271452.6246309,,,,,43.152730699791505,3518207.052371423,,,70.35363415929892,7156792.974480764,,,,,,,,,,,,
46.72676842535306,576600147.0939406,44.93504701206474,104438992.69162901,45.35409418561943,4085000.8350374927,,,,,43.66153756683245,473126116.5755626,,,,,45.35677592667436,3496528.6226577144,,,79.50601795596035,6551156.135483338,,,,,,,,,,,,
49.11380156812049,559629497.8066862,47.183987554708615,96182656.50427172,47.671564377956145,3844115.8118517897,,,,,45.89169612328559,466832327.8843207,,,,,47.29717931778605,3458912.296887002,,,83.56777271574552,6319162.042778107,,,,,,,,,,,,
51.62272556879264,544558960.0333161,49.59540695522844,88391649.31172168,50.13269487988939,3612470.124118388,,,,,48.23579579279787,459911053.56201106,,,,,49.544361606428666,3436124.0403856616,,,86.45540052023694,6182335.524777303,,,,,,,,,,,,
54.25978329544019,530713695.75748736,52.05138616681,81445861.83101536,52.52492144049839,3400616.8765683617,,,,,50.69972887566294,450764649.1595952,,,,,52.59977597204836,3392369.552122891,,,97.48178146657939,5618982.213077701,,,,,,,,,,,,
57.03169497212069,513786390.09515584,54.79429668863771,74532678.85242236,55.35914806261408,3178732.7763489145,,,,,53.28954301130005,441345260.28250766,,,,,55.3581075745312,3339861.648069994,,,102.92730640958887,5364451.882025464,,,,,,,,,,,,
59.94538408711835,493664085.50203824,57.594731923339985,68252368.04833068,58.187982439802695,2973316.453640208,,,,,56.01161563126558,432790940.4275368,,,,,58.18579856457124,3281881.834161292,,,106.24320111826736,5230755.6577918315,,,,,,,,,,,,
63.007645953725984,479998969.50362855,60.26455806268937,63096410.69969156,61.16136453952937,2781747.62027602,,,,,58.872768484320694,423747138.5722479,,,,,61.047282202954676,3220592.693803447,,,118.98266398305553,4721170.384166159,,,,,,,,,,,,
66.22646419030661,464433994.32807004,63.69641260080187,57104521.05358984,64.28670664511793,2600243.6196296997,,,,,61.88019423978116,412760826.51209867,,,,,64.07432470538744,3164264.258278786,,,125.06159371006464,4514279.530473063,,,,,,,,,,,,
69.60972628184382,449258031.50838053,66.58203739352955,52816386.96986549,67.57184615425672,2421834.757594279,,,,,65.04131343243178,401025239.5972832,,,,,68.1803255817261,3085175.4656246547,,,129.38346836912174,4375775.840052061,,,,,,,,,,,,
73.16598413915827,432122703.3597058,70.94282325822567,47177005.925467156,71.02490254702269,2252184.15864981,,,,,68.363836531483,390829281.3429883,,,,,71.20101495686957,3016708.019488829,,,145.2269279543909,3889926.4078315627,,,,,,,,,,,,
76.90379796367081,417464646.9490923,74.56862509901526,43132826.868598744,74.65443163925785,2093339.164517675,,,,,71.85618346014228,379521719.806584,,,,,75.2103889220476,2929284.240289203,,,152.64690958355553,3706075.929974155,,,,,,,,,,,,
80.8326514405233,402165868.86528033,78.20234665199831,39604279.337149896,79.3274139887072,1912314.148740881,,,,,75.5269802885519,367972276.73473626,,,,,80.25490657932345,2833809.4647413185,,,157.92230862071548,3578518.274226247,,,,,,,,,,,,
84.96250504776211,384044506.58579725,82.38569531996306,35980587.2532025,83.23028328100949,1779821.8640728057,,,,,79.38523881353241,357510114.7307641,,,,,84.35472191709046,2750404.0289026205,,,177.26084841870352,3162402.1560629937,,,,,,,,,,,,
89.30310490004048,369491658.13360107,86.40049077390336,32887733.786416393,87.48365413125985,1648338.45667068,,,,,83.4408396189546,344672141.98932344,,,,,88.26327816808235,2677945.7829544256,,,186.14950887324088,2985132.168481032,,,,,,,,,,,,
93.86549588081775,355124253.72344816,91.48755767650862,29636038.52694336,91.95444174553319,1524211.267888716,,,,,87.70354545400629,333152053.15781885,,,,,93.61644434178231,2582890.7683229097,,,192.3210819049498,2890813.541686105,,,,,,,,,,,,
98.66100240113934,341057770.10635406,95.6744193793613,27328549.503911003,96.65376243327424,1407255.2186951446,,,,,92.1840002373471,322182908.1614929,,,,,98.39906392423985,2491423.6458850503,,,215.3845304038812,2530220.38132083,,,,,,,,,,,,
103.70167095713425,326190352.08000743,100.47327353503552,24929288.452392485,101.59322144917839,1299942.8515547714,,,,,96.89355381461503,309814604.0686222,,,,,103.96265816492713,2403018.7965180147,,,226.38986932018005,2387157.7787619457,,,,,,,,,,,,
108.99969625909355,313291456.1631901,105.7042286439391,22679839.88520587,106.78525625656138,1196492.020508905,,,,,101.84365217759958,298381814.67741627,,,,,108.70971611966905,2321676.6986792022,,,233.6842725811467,2300251.2850522995,,,,,,,,,,,,
114.56894621419913,297103828.8747361,111.10686137621154,20629115.561873663,112.24259183832085,1102408.9681871785,,,,,107.04687173081528,285747343.2521065,,,,,114.11563413469212,2241438.1372559275,,,260.1325883502269,2015398.5222179478,,,,,,,,,,,,
120.42229659980964,284572325.6608966,116.83848690288997,18779288.801188327,117.9788745881201,1014678.093114495,,,,,112.51572690828945,274919333.1890682,,,,,120.10094829732043,2154598.559891529,,,273.83845058266377,1882604.0716800052,,,,,,,,,,,,
126.57495190346667,271122519.0135481,122.75449545456026,17120009.89477129,124.0083407399458,933448.0187997677,,,,,118.2642087812976,263142768.73556852,,,,,125.57146204470945,2077228.2242257376,,,282.661930891183,1809711.1153525955,,,,,,,,,,,,
133.04196068114388,258308393.64135846,129.02855651523967,15580031.382893035,130.34602727965776,857394.9391183959,,,,,124.30628597115636,252390129.83244678,,,,,133.53024052052294,1977319.5751474937,,,315.1304162421595,1564780.6716669877,,,,,,,,,,,,
139.83941136172132,245973179.04363382,135.62334197030822,14163978.550732665,137.00764039438243,787132.783611666,,,,,130.6573577473309,240585244.08112025,,,,,139.93976579334827,1895862.3441938963,,,331.233302445188,1465698.2059432412,,,,,,,,,,,,
146.9843336754433,233504275.02211648,142.55516594735175,12883263.365962328,143.81409306898803,724118.8534379324,,,,,137.33275792307268,230042331.52264965,,,,,147.2559264259004,1815935.9882913353,,,341.1332314329838,1405082.3910936723,,,,,,,,,,,,
154.49425649023115,221895912.64914262,149.8412813240222,11718351.193645472,151.36981222558316,661363.187401547,,,,,144.34946456209076,218944128.89268422,,,,,154.6792932866047,1735591.7333756909,,,379.4583503537561,1211998.5857614437,,,,,,,,,,,,
162.3879500476477,210647536.5117657,157.49985790645968,10647796.675348254,158.70594293542052,609009.9689572448,,,,,151.72459474141323,208667762.75750047,,,,,162.68733619710997,1655997.288731124,,,398.84896193807197,1130586.143006723,,,,,,,,,,,,
170.6851744268781,199316149.20492363,166.6790739799255,9541917.729883734,167.23760046703302,555117.1566089967,,,,,159.47670299230867,198328163.4693427,,,,,171.88693887359062,1571126.1424962468,,,411.70135266224804,1080670.5181830649,,,,,,,,,,,,
179.40642672319464,188371486.3088295,175.59562180642783,8638546.846412124,175.1663976117941,511232.83955256775,,,,,167.62496851082662,188274486.70394075,,,,,179.73623881999683,1501613.2521128552,,,454.8544644661565,932060.0984358324,,,,,,,,,,,,
188.57334610306776,177903840.64462236,184.5705712994038,7845312.375653717,184.76902976526415,464262.31907240744,,,,,176.18966309603437,178454489.1514759,,,,,190.03523795333996,1421900.0918386702,,,480.2700321410115,858720.8196510165,,,,,,,,,,,,
198.20896724248436,167326969.36944017,194.00428159325125,7121247.762456792,194.2123132426936,424682.8036691697,,,,,185.19221928461695,168537922.71019357,,,,,198.90973763405592,1353319.120423683,,,493.5053549274574,824905.1146352992,,,,,,,,,,,,
208.33657715259477,158110166.78568068,203.55080971646518,6491033.623754315,204.50867436486453,386740.6230404561,,,,,194.6548066191588,159090447.660682,,,,,209.66555187252672,1281329.6531913157,,,550.4747946596619,695962.0380421239,,,,,,,,,,,,
218.98196367624132,148863354.9848512,214.70728022895855,5858369.097106797,214.57182350948963,353715.3639766879,,,,,204.60093466518626,150095225.87975764,,,,,221.3787995267428,1210049.3278545882,,,578.3141067966474,647209.5885918784,,,,,,,,,,,,
230.17138827920954,140013020.23344058,225.29824277664935,5328651.953453963,225.5385505172147,322561.8565327778,,,,,215.0554408415787,141317154.6517744,,,,,231.21919261388365,1151033.9907829445,,,594.2540125710151,614401.156902964,,,,,,,,,,,,
241.932658918433,131553273.92163566,237.64975183827931,4804577.585929468,237.87260637064773,293112.4135838863,,,,,226.04427431290608,132847019.00760467,,,,,244.5797346393633,1080484.9936234092,,,659.5239895507594,524539.8667518765,,,,,,,,,,,,
254.29520431095997,123223274.07552235,249.03039759789013,4385703.95051381,249.1819303234437,268936.43461849634,,,,,237.59442557822152,125142121.06556967,,,,,255.91466255460873,1026558.5608662987,,,699.9367022437823,475454.764049777,,,,,,,,,,,,
267.289360201706,115539693.6489257,261.77194561023276,3980229.5343928076,261.91772745628225,244871.1675908707,,,,,249.7350466024189,117520344.58645417,,,,,269.2960377474886,964669.3525479264,,,787.0027330659333,393917.800358709,,,,,,,,,,,,
280.9477756718548,108056580.04565053,275.0131702613806,3611849.9518107604,275.3045106355866,222844.52516564343,,,,,262.496132942005,110249141.4660773,,,,,283.3771955463632,905741.2374780551,,,827.2245185598209,361264.5162276141,,,,,,,,,,,,
295.3042134956118,100985275.6921877,289.98814677446535,3253605.6238103705,288.9386393493164,203531.73344238428,,,,,275.9096697885808,103055584.4021448,,,,,299.6939105256196,846549.819264278,,,851.948341410258,346680.90864620236,,,,,,,,,,,,
